review_id,sku,customer_id,customer_name,rating,comment,date,verified
b11c32e9-85af-a4d8-8a65-b4fb789be9f1,BB-10007,,Rahul K.,4,Been using for a month — visible results. Will keep buying.,2026-06-20,False
d04346e8-f1ec-6587-82a1-5e2f079fdd2b,BB-10007,,Lakshmi V.,4,Not bad at all. Works as expected for the price.,2026-06-21,False
9190390a-e908-e87b-2644-5e1598493e5c,BB-10007,,Ramesh E.,4,Packaging is great and quality is top notch.,2026-06-22,False
eb9fcd2f-9922-1206-3a07-e69d6787625c,BB-10007,,Rekha C.,5,Regular customer. Quality is always consistent.,2026-06-23,False
3319566e-cd05-f17e-2c15-1bd6db0ef2a9,BB-10026,,Ramesh E.,3,Amazing! My skin feels so much better now.,2026-02-18,False
68d14f17-108b-1dbe-07ef-f8ed6e5aa782,BB-10026,,Rekha C.,5,Very happy with this. Value for money.,2026-02-19,False
ef731f0b-8d5e-88a3-900a-16f972c252b0,BB-10026,,Sunil A.,4,Great daily use product. Will order again.,2026-02-20,False
97fd514c-59f4-3fb3-f77e-5d60d882ba13,BB-10026,,Kavitha N.,5,Exactly as described. Very satisfied.,2026-02-21,False
1e036799-7a35-4899-d49c-d9f0077e9b8c,BB-10059,,Prakash C.,4,"Great taste, fresh packaging. Will buy more.",2026-02-22,False
4084f511-d2fe-563e-31de-ceace39122c3,BB-10059,,Sunita B.,4,Good quality. Nothing fancy but reliable.,2026-02-23,False
500db44d-c558-a0ad-fc40-3e9b95bdab5a,BB-10059,,Vikram S.,4,Good quantity for the price. Satisfying.,2026-02-24,False
71fe9c9b-4f7a-ec66-74b2-c379d12b714c,BB-10059,,Meena R.,5,Kids approved! That says everything.,2026-02-25,False
84a86d7a-d4f8-eb93-49bb-1df9b1417ea4,BB-10060,,Rekha C.,5,Hard to find this brand locally. Great find!,2026-01-08,False
b67f81a7-9980-1202-d6e2-b15ebf4322bd,BB-10060,,Sunil A.,5,Good but slightly pricey for the quantity.,2026-01-09,False
b8ca1e76-6373-e9f4-a518-b3ca4e41ae7c,BB-10060,,Kavitha N.,3,Authentic flavours! Loved every bite.,2026-01-10,False
1aafa03d-eb54-f8ec-52f3-ce7398fe628a,BB-10060,,Divya R.,5,Nice flavours. Good for a special treat.,2026-01-11,False
80fbb68a-b533-e231-bb48-2dfe584e66bb,BB-10060,,Anita M.,4,"Great taste, exotic flavours. Highly recommend.",2026-01-12,False
b0908dd8-0b79-b8b0-be5a-349a4fe6cf17,BB-10064,,Vijay L.,4,Very effective cleaning product. Highly recommend.,2026-05-17,False
4b668e90-3af4-3167-2843-c4a361eaba7b,BB-10064,,Neha T.,4,Decent product for the price.,2026-05-18,False
fdd4e313-1b11-af69-373e-20913757fee9,BB-10064,,Suresh P.,4,"Strong formula, handles tough stains easily.",2026-05-19,False
6c4d670a-9d09-f37c-36d8-c91926024629,BB-10064,,Ravi O.,5,One bottle lasts a long time. Great buy.,2026-05-20,False
08aa5c5f-0637-b413-6dc4-005fadd85509,BB-10073,,Ramesh E.,4,Premium quality gourmet food. Worth every rupee.,2026-03-26,False
36f1b087-9894-3b21-0364-61d1b89f40e9,BB-10073,,Rekha C.,5,Hard to find this brand locally. Great find!,2026-03-27,False
2732f6a4-3142-243b-6bb4-92fb98c70566,BB-10073,,Sunil A.,5,Good but slightly pricey for the quantity.,2026-03-28,False
1a5828e3-f3e6-7836-1b39-befc11e6fb7f,BB-10073,,Kavitha N.,3,Authentic flavours! Loved every bite.,2026-03-29,False
